time,source_month,lwe_thickness_mean,lwe_thickness_mean_anom
2019-12-16,2019-12-01,-38.23302355951603,1.9455718905699508
2019-12-28,2019-12-01,-38.23302355951603,1.9455718905699508
2020-01-09,2020-01-01,-36.1677011880241,4.01089426206188
2020-01-21,2020-01-01,-36.1677011880241,4.01089426206188
2020-02-02,2020-02-01,-35.92135927774839,4.2572361723375804
2020-02-14,2020-02-01,-35.92135927774839,4.2572361723375804
2020-02-26,2020-02-01,-35.92135927774839,4.2572361723375804
2020-03-09,2020-03-01,-35.052079926618454,5.126515523467523
2020-03-21,2020-03-01,-35.052079926618454,5.126515523467523
2020-04-02,2020-04-01,-33.84235315526059,6.336242294825391
2020-04-14,2020-04-01,-33.84235315526059,6.336242294825391
2020-04-26,2020-04-01,-33.84235315526059,6.336242294825391
2020-05-08,2020-05-01,-35.758782326607914,4.419813123478055
2020-05-20,2020-05-01,-35.758782326607914,4.419813123478055
2020-06-01,2020-06-01,-39.035425294867416,1.1431701552185511
2020-06-13,2020-06-01,-39.035425294867416,1.1431701552185511
2020-06-25,2020-06-01,-39.035425294867416,1.1431701552185511
2020-07-07,2020-07-01,-37.638416993365794,2.540178456720177
2020-07-19,2020-07-01,-37.638416993365794,2.540178456720177
2020-07-31,2020-07-01,-37.638416993365794,2.540178456720177
2020-08-12,2020-08-01,-36.53486015123583,3.643735298850139
2020-08-24,2020-08-01,-36.53486015123583,3.643735298850139
2020-09-05,2020-09-01,-32.198622471974716,7.979972978111249
2020-09-17,2020-09-01,-32.198622471974716,7.979972978111249
2020-09-29,2020-09-01,-32.198622471974716,7.979972978111249
2020-10-11,2020-10-01,-40.78333386371884,-0.6047384136328614
2020-10-23,2020-10-01,-40.78333386371884,-0.6047384136328614
2020-11-04,2020-11-01,-44.42730986802768,-4.248714417941701
2020-11-16,2020-11-01,-44.42730986802768,-4.248714417941701
2020-11-28,2020-11-01,-44.42730986802768,-4.248714417941701
2020-12-10,2020-12-01,-43.996984712734886,-3.8183892626489087
2020-12-22,2020-12-01,-43.996984712734886,-3.8183892626489087
2021-01-03,2021-01-01,-43.98998828307073,-3.8113928329847644
2021-01-15,2021-01-01,-43.98998828307073,-3.8113928329847644
2021-01-27,2021-01-01,-43.98998828307073,-3.8113928329847644
2021-02-08,2021-02-01,-45.60753079329673,-5.42893534321075
2021-02-20,2021-02-01,-45.60753079329673,-5.42893534321075
2021-03-04,2021-03-01,-46.57914885085073,-6.400553400764747
2021-03-16,2021-03-01,-46.57914885085073,-6.400553400764747
2021-03-28,2021-03-01,-46.57914885085073,-6.400553400764747
2021-04-09,2021-04-01,-46.24075995626083,-6.062164506174853
2021-04-21,2021-04-01,-46.24075995626083,-6.062164506174853
2021-05-03,2021-05-01,-47.24620610233735,-7.06761065225137
2021-05-15,2021-05-01,-47.24620610233735,-7.06761065225137
2021-05-27,2021-05-01,-47.24620610233735,-7.06761065225137
2021-06-08,2021-06-01,-48.27517261096219,-8.096577160876201
2021-06-20,2021-06-01,-48.27517261096219,-8.096577160876201
2021-07-02,2021-07-01,-47.86216741183007,-7.683571961744094
2021-07-14,2021-07-01,-47.86216741183007,-7.683571961744094
2021-07-26,2021-07-01,-47.86216741183007,-7.683571961744094
2021-08-07,2021-08-01,-44.18362337475231,-4.005027924666326
2021-08-19,2021-08-01,-44.18362337475231,-4.005027924666326
2021-08-31,2021-08-01,-44.18362337475231,-4.005027924666326
2021-09-12,2021-09-01,-44.43471418257751,-4.256118732491537
2021-09-24,2021-09-01,-44.43471418257751,-4.256118732491537
2021-10-06,2021-10-01,-48.22675568323959,-8.048160233153617
2021-10-18,2021-10-01,-48.22675568323959,-8.048160233153617
2021-10-30,2021-10-01,-48.22675568323959,-8.048160233153617
2021-11-11,2021-11-01,-49.747779646791,-9.569184196705022
2021-11-23,2021-11-01,-49.747779646791,-9.569184196705022
2021-12-05,2021-12-01,-52.8740431590482,-12.695447708962227
2021-12-17,2021-12-01,-52.8740431590482,-12.695447708962227
2021-12-29,2021-12-01,-52.8740431590482,-12.695447708962227
2022-01-10,2022-01-01,-46.765663419678894,-6.587067969592919
2022-01-22,2022-01-01,-46.765663419678894,-6.587067969592919
2022-02-03,2022-02-01,-48.35838283815812,-8.17978738807214
2022-02-15,2022-02-01,-48.35838283815812,-8.17978738807214
2022-02-27,2022-02-01,-48.35838283815812,-8.17978738807214
2022-03-11,2022-03-01,-48.94669446639351,-8.768099016307527
2022-03-23,2022-03-01,-48.94669446639351,-8.768099016307527
2022-04-04,2022-04-01,-51.80829900383897,-11.629703553752988
2022-04-16,2022-04-01,-51.80829900383897,-11.629703553752988
2022-04-28,2022-04-01,-51.80829900383897,-11.629703553752988
2022-05-10,2022-05-01,-53.06472981935221,-12.88613436926623
2022-05-22,2022-05-01,-53.06472981935221,-12.88613436926623
2022-06-03,2022-06-01,-56.285839950513434,-16.107244500427456
2022-06-15,2022-06-01,-56.285839950513434,-16.107244500427456
2022-06-27,2022-06-01,-56.285839950513434,-16.107244500427456
2022-07-09,2022-07-01,-50.47196816543591,-10.293372715349935
2022-07-21,2022-07-01,-50.47196816543591,-10.293372715349935
2022-08-02,2022-08-01,-38.433825413445405,1.74477003664057
2022-08-14,2022-08-01,-38.433825413445405,1.74477003664057
2022-08-26,2022-08-01,-38.433825413445405,1.74477003664057
2022-09-07,2022-09-01,-42.76034570950246,-2.581750259416486
2022-09-19,2022-09-01,-42.76034570950246,-2.581750259416486
2022-10-01,2022-10-01,-48.879417973181916,-8.700822523095937
2022-10-13,2022-10-01,-48.879417973181916,-8.700822523095937
2022-10-25,2022-10-01,-48.879417973181916,-8.700822523095937
2022-11-06,2022-11-01,-47.91949192144283,-7.740896471356857
2022-11-18,2022-11-01,-47.91949192144283,-7.740896471356857
2022-11-30,2022-11-01,-47.91949192144283,-7.740896471356857
2022-12-12,2022-12-01,-50.30044348659788,-10.121848036511897
2022-12-24,2022-12-01,-50.30044348659788,-10.121848036511897
2023-01-05,2023-01-01,-47.20417869427243,-7.0255832441864445
2023-01-17,2023-01-01,-47.20417869427243,-7.0255832441864445
2023-01-29,2023-01-01,-47.20417869427243,-7.0255832441864445
2023-02-10,2023-02-01,-44.179368828536596,-4.000773378450619
2023-02-22,2023-02-01,-44.179368828536596,-4.000773378450619
2023-03-06,2023-03-01,-47.60063943017916,-7.422043980093188
2023-03-18,2023-03-01,-47.60063943017916,-7.422043980093188
2023-03-30,2023-03-01,-47.60063943017916,-7.422043980093188
2023-04-11,2023-04-01,-47.57108665440141,-7.392491204315436
2023-04-23,2023-04-01,-47.57108665440141,-7.392491204315436
2023-05-05,2023-05-01,-49.82820727117022,-9.649611821084246
2023-05-17,2023-05-01,-49.82820727117022,-9.649611821084246
2023-05-29,2023-05-01,-49.82820727117022,-9.649611821084246
2023-06-10,2023-06-01,-47.022829871841864,-6.844234421755886
2023-06-22,2023-06-01,-47.022829871841864,-6.844234421755886
2023-07-04,2023-07-01,-41.92346076368738,-1.7448653136013994
2023-07-16,2023-07-01,-41.92346076368738,-1.7448653136013994
2023-08-21,2023-08-01,-37.84944974580247,2.3291457042835106
2023-09-02,2023-09-01,-44.42703983811613,-4.248444388030153
2023-09-14,2023-09-01,-44.42703983811613,-4.248444388030153
2023-09-26,2023-09-01,-44.42703983811613,-4.248444388030153
2023-10-08,2023-10-01,-47.52252048385769,-7.343925033771716
2023-10-20,2023-10-01,-47.52252048385769,-7.343925033771716
2023-11-01,2023-11-01,-48.830278379763584,-8.651682929677609
2023-11-13,2023-11-01,-48.830278379763584,-8.651682929677609
2023-11-25,2023-11-01,-48.830278379763584,-8.651682929677609
2023-12-07,2023-12-01,-49.72468998851641,-9.546094538430442
2023-12-19,2023-12-01,-49.72468998851641,-9.546094538430442
2023-12-31,2023-12-01,-49.72468998851641,-9.546094538430442
2024-01-12,2024-01-01,-51.081441552747876,-10.902846102661908
2024-01-24,2024-01-01,-51.081441552747876,-10.902846102661908
