time,source_month,S0_mean,Sg_mean,S0_mean_anom,Sg_mean_anom
2018-07-18,2018-07-01,0.06416895627770519,0.01591788191132732,0.02498360227061547,0.0037932092731670477
2018-07-30,2018-07-01,0.06416895627770519,0.01591788191132732,0.02498360227061547,0.0037932092731670477
2018-08-11,2018-08-01,0.06469492734427805,0.03737342374767955,0.02550957333718833,0.025248751109519286
2018-08-23,2018-08-01,0.06469492734427805,0.03737342374767955,0.02550957333718833,0.025248751109519286
2018-09-04,2018-09-01,0.05652511640358498,0.035331155373404734,0.017339762396495255,0.023206482735244453
2018-09-16,2018-09-01,0.05652511640358498,0.035331155373404734,0.017339762396495255,0.023206482735244453
2018-09-28,2018-09-01,0.05652511640358498,0.035331155373404734,0.017339762396495255,0.023206482735244453
2018-10-10,2018-10-01,0.04364365753748492,0.01976563840958937,0.004458303530395204,0.007640965771429099
2018-10-22,2018-10-01,0.04364365753748492,0.01976563840958937,0.004458303530395204,0.007640965771429099
2018-11-03,2018-11-01,0.035187239448016334,0.008998693071373076,-0.0039981145590733845,-0.003125979566787197
2018-11-15,2018-11-01,0.035187239448016334,0.008998693071373076,-0.0039981145590733845,-0.003125979566787197
2018-11-27,2018-11-01,0.035187239448016334,0.008998693071373076,-0.0039981145590733845,-0.003125979566787197
2018-12-09,2018-12-01,0.03002472049979021,0.005889097791643809,-0.009160633507299508,-0.006235574846516462
2018-12-21,2018-12-01,0.03002472049979021,0.005889097791643809,-0.009160633507299508,-0.006235574846516462
2019-01-02,2019-01-01,0.03836090885981436,0.005129281553831478,-0.000824445147275366,-0.006995391084328796
2019-01-14,2019-01-01,0.03836090885981436,0.005129281553831478,-0.000824445147275366,-0.006995391084328796
2019-01-26,2019-01-01,0.03836090885981436,0.005129281553831478,-0.000824445147275366,-0.006995391084328796
2019-02-07,2019-02-01,0.05492746057101718,0.01029751049451692,0.015742106563927463,-0.0018271621436433507
2019-02-19,2019-02-01,0.05492746057101718,0.01029751049451692,0.015742106563927463,-0.0018271621436433507
2019-03-03,2019-03-01,0.05223240518315711,0.015488144167630202,0.013047051176067382,0.0033634715294699295
2019-03-15,2019-03-01,0.05223240518315711,0.015488144167630202,0.013047051176067382,0.0033634715294699295
