reach_id,time_str,river_name,p_lat,p_lon,wse,width,slope2,d_x_area,dschg_c,source_file,product,time
21500800284,2024-03-14T03:31:46Z,Fiume Arno,43.76530457,11.337519,55.5716,113.590132,0.00359966617,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800201,2024-03-14T03:31:46Z,Fiume Arno,43.7758682,11.2295414,,28.518171,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800344,2024-03-14T03:31:46Z,Fiume Arno,43.79152438,11.3885935,,167.658265,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800181,2024-03-14T03:31:46Z,Fiume Arno,43.7853558,11.2058467,29.6771,38.175764,-0.001067136,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800194,2024-03-14T03:31:46Z,Fiume Arno,43.78123761,11.2146427,,76.642658,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800174,2024-03-14T03:31:46Z,Fiume Arno,43.78926005,11.1968555,,44.2297,,,,SWOT_L2_HR_RiverSP_Reach_012_208_EU_20240314T032902_20240314T032904_PIC0_01.zip,river,2024-03-14 03:31:46+00:00
21500800021,2024-03-16T16:50:29Z,Fiume Arno,43.7081277,10.4445051,0.6655,86.832779,2.739987e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:29+00:00
21500800081,2024-03-16T16:50:30Z,Fiume Arno,43.72780079,10.8953951,12.566,17.273427,-0.0022745349,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900231,2024-03-16T16:50:30Z,Serchio,43.88606154,10.5259476,28.7026,95.969738,0.00313879483,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900224,2024-03-16T16:50:30Z,Serchio,43.85677563,10.5059732,,70.490082,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500900211,2024-03-16T16:50:30Z,Serchio,43.8532787,10.4915647,,172.763823,,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
21500800061,2024-03-16T16:50:30Z,Fiume Arno,43.70436492,10.7839405,13.243,10.440671,-7.74238e-05,,,SWOT_L2_HR_RiverSP_Reach_012_279_EU_20240316T164904_20240316T164911_PIC0_01.zip,river,2024-03-16 16:50:30+00:00
