time,n_pixels,soil_moisture_mean,soil_moisture_std,source_file
2017-09-07,49,0.16794237175158092,0.022672879999385828,SMAP_L3_SM_P_E_20170907_R19240_001.h5
2017-09-13,0,,,SMAP_L3_SM_P_E_20170913_R19240_001.h5
2017-09-19,37,0.3404734722665838,0.02915810619402894,SMAP_L3_SM_P_E_20170919_R19240_001.h5
2017-09-25,78,0.29387548432136196,0.04115249923939189,SMAP_L3_SM_P_E_20170925_R19240_001.h5
2017-10-07,0,,,SMAP_L3_SM_P_E_20171007_R19240_001.h5
2017-10-13,72,0.20814498079319796,0.03241405166475681,SMAP_L3_SM_P_E_20171013_R19240_001.h5
2017-10-19,80,0.16366137973964215,0.022088973640975878,SMAP_L3_SM_P_E_20171019_R19240_001.h5
2017-10-25,49,0.22156237065792084,0.038703734698669966,SMAP_L3_SM_P_E_20171025_R19240_001.h5
2017-10-31,0,,,SMAP_L3_SM_P_E_20171031_R19240_001.h5
2017-11-06,71,0.29813046711431423,0.03111452529400387,SMAP_L3_SM_P_E_20171106_R19240_001.h5
2017-11-12,82,0.3092707938900808,0.026613565580886074,SMAP_L3_SM_P_E_20171112_R19240_001.h5
2017-11-18,44,0.29863896390253847,0.02974609029447464,SMAP_L3_SM_P_E_20171118_R19240_001.h5
2017-11-24,0,,,SMAP_L3_SM_P_E_20171124_R19240_001.h5
2017-11-30,63,0.3303822962537644,0.03512063216911261,SMAP_L3_SM_P_E_20171130_R19240_001.h5
2017-12-06,79,0.2339765487969676,0.02564475206234418,SMAP_L3_SM_P_E_20171206_R19240_001.h5
2017-12-12,50,0.2912238186597824,0.03501813449848903,SMAP_L3_SM_P_E_20171212_R19240_001.h5
2017-12-24,62,0.20591407581683127,0.025080198023357213,SMAP_L3_SM_P_E_20171224_R19240_001.h5
2017-12-30,69,0.2618132721686709,0.02925718004858018,SMAP_L3_SM_P_E_20171230_R19240_001.h5
2018-01-05,52,0.2503434525659451,0.026462279802606684,SMAP_L3_SM_P_E_20180105_R19240_001.h5
