master,slave,path,Bperp,delta_days
S1A_IW_SLC__1SDV_20180320T051035_20180320T051102_021094_0243D0_F90B,S1A_IW_SLC__1SDV_20180401T051101_20180401T051128_021269_024958_C601,22,175,12
S1A_IW_SLC__1SDV_20180320T051100_20180320T051127_021094_0243D0_DDDB,S1A_IW_SLC__1SDV_20180401T051036_20180401T051103_021269_024958_827F,22,175,11
S1A_IW_SLC__1SDV_20180320T051100_20180320T051127_021094_0243D0_DDDB,S1A_IW_SLC__1SDV_20180401T051101_20180401T051128_021269_024958_C601,22,175,12
S1B_IW_SLC__1SDV_20180326T050959_20180326T051027_010198_012878_D804,S1B_IW_SLC__1SDV_20180326T051025_20180326T051052_010198_012878_D292,22,0,0
S1B_IW_SLC__1SDV_20180326T050959_20180326T051027_010198_012878_D804,S1B_IW_SLC__1SDV_20180407T051000_20180407T051028_010373_012E2C_35E9,22,175,12
S1B_IW_SLC__1SDV_20180326T050959_20180326T051027_010198_012878_D804,S1B_IW_SLC__1SDV_20180407T051025_20180407T051052_010373_012E2C_DE04,22,175,12
S1B_IW_SLC__1SDV_20180326T051025_20180326T051052_010198_012878_D292,S1B_IW_SLC__1SDV_20180407T051000_20180407T051028_010373_012E2C_35E9,22,175,11
S1B_IW_SLC__1SDV_20180326T051025_20180326T051052_010198_012878_D292,S1B_IW_SLC__1SDV_20180407T051025_20180407T051052_010373_012E2C_DE04,22,175,12
S1A_IW_SLC__1SDV_20180401T051036_20180401T051103_021269_024958_827F,S1A_IW_SLC__1SDV_20180401T051101_20180401T051128_021269_024958_C601,22,0,0
S1A_IW_SLC__1SDV_20180401T051036_20180401T051103_021269_024958_827F,S1A_IW_SLC__1SDV_20180413T051036_20180413T051103_021444_024ECD_F033,22,175,12
S1A_IW_SLC__1SDV_20180401T051036_20180401T051103_021269_024958_827F,S1A_IW_SLC__1SDV_20180413T051101_20180413T051128_021444_024ECD_E7B3,22,175,12
S1A_IW_SLC__1SDV_20180401T051101_20180401T051128_021269_024958_C601,S1A_IW_SLC__1SDV_20180413T051036_20180413T051103_021444_024ECD_F033,22,175,11
S1A_IW_SLC__1SDV_20180401T051101_20180401T051128_021269_024958_C601,S1A_IW_SLC__1SDV_20180413T051101_20180413T051128_021444_024ECD_E7B3,22,175,12
S1B_IW_SLC__1SDV_20180407T051000_20180407T051028_010373_012E2C_35E9,S1B_IW_SLC__1SDV_20180407T051025_20180407T051052_010373_012E2C_DE04,22,0,0
S1B_IW_SLC__1SDV_20180407T051000_20180407T051028_010373_012E2C_35E9,S1B_IW_SLC__1SDV_20180419T051000_20180419T051028_010548_0133BF_9DC1,22,175,12
S1B_IW_SLC__1SDV_20180407T051000_20180407T051028_010373_012E2C_35E9,S1B_IW_SLC__1SDV_20180419T051026_20180419T051053_010548_0133BF_3A16,22,175,12
S1B_IW_SLC__1SDV_20180407T051025_20180407T051052_010373_012E2C_DE04,S1B_IW_SLC__1SDV_20180419T051000_20180419T051028_010548_0133BF_9DC1,22,175,11
S1B_IW_SLC__1SDV_20180407T051025_20180407T051052_010373_012E2C_DE04,S1B_IW_SLC__1SDV_20180419T051026_20180419T051053_010548_0133BF_3A16,22,175,12
