Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BO50-02,Pozzo,BO,BOLOGNA,IT082462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689316,4928818,55.23,276.77,,11,84,261.5
BO52-00,Pozzo,BO,BOLOGNA,IT080170ER-DQ1-CL,Conoide Savena - libero,689193,4925716,73.26,14,,,,
BO53-02,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,692897,4926261,66,70,,,,
BO53-03,Pozzo,BO,SAN LAZZARO DI SAVENA,IT082470ER-DQ2-CCI,Conoide Zena-Idice - confinato inferiore,692456,4927345,55,93,,1,56.5,61.3
BO55-01,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,696514,4928048,47.5,84,,,,
BO55-02,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,695621,4927462,54.6,87.8,,9,17,87
BO56-01,Pozzo,BO,SAN LAZZARO DI SAVENA,IT082470ER-DQ2-CCI,Conoide Zena-Idice - confinato inferiore,695449,4925917,52.42,203.04,,5,80.5,185.45
BO57-01,Pozzo,BO,OZZANO DELL'EMILIA,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,696479,4924615,61.4,81,,2,45,81
BO58-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,704957,4925609,37.4,453,,2,354,444.39
BO60-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,704907,4919915,75.5,136,,4,36.4,131.3
BO61-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,706826,4919601,59.65,101,,6,73.3,95.72
