Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
FC94-00,Pozzo,FC,CASTROCARO TERME E TERRA DEL SOLE,IT085090ER-AV2-VA,Depositi vallate App. Senio-Savio,736705,4896222,55,13.5,,,,
FC95-00,Pozzo,FC,MELDOLA,IT085090ER-AV2-VA,Depositi vallate App. Senio-Savio,744829,4888543,81,5,,,,
FC96-00,Pozzo,FC,CESENA,IT085090ER-AV2-VA,Depositi vallate App. Senio-Savio,754308,4882052,73,5.5,,,,
FC97-00,Pozzo,FC,FORLÌ,IT080245ER-DQ1-CL,Conoide Ronco-Montone - libero,738566,4899203,47.1,42,,,,
FC98-00,Pozzo,FC,FORLÌ,IT080245ER-DQ1-CL,Conoide Ronco-Montone - libero,741429,4895561,53,8,,,,
FC99-00,Pozzo,FC,FORLÌ,IT080540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,746228,4900780,22.4,80,,1,61.5,68.5
FCA0-00,Pozzo,FC,CESENA,IT082550ER-DQ2-CCI,Conoide Savio - confinato inferiore,757656,4894146,35,110,Fondo foro,1,73.7,98
FC-F01-00,Pozzo,FC,FORLÌ,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,742161,4912623,14.4,11.59,,,,
FC-F04-00,Pozzo,FC,FORLIMPOPOLI,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,750030,4899225,25.6,10.52,,,,
FC-F06-00,Pozzo,FC,CESENA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,760216,4896293,27.3,8.69,,,,
FC-F07-00,Pozzo,FC,GATTEO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,771211,4889465,21.4,9.04,,,,
FE01-01,Pozzo,FE,BONDENO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,690795,4978495,12.5,35,,2,21,34
FE05-02,Pozzo,FE,FERRARA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,704595,4973733,10.12,37.55,,1,22,32.05
FE05-03,Pozzo,FE,FERRARA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,704670,4973700,10.12,34.5,,1,16.1,31.2
FE07-01,Pozzo,FE,RIVA DEL PO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,718990,4981747,3.3,50,,1,23.2,46
FE09-01,Pozzo,FE,FERRARA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,714625,4970293,5,38,Fondo foro,1,30,36
FE12-00,Pozzo,FE,TRESIGNANA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,726466,4969250,2.5,130,,1,95,129
FE13-01,Pozzo,FE,RIVA DEL PO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,733775,4984419,0.72,49,,1,29,35
FE15-00,Pozzo,FE,RIVA DEL PO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,743260,4982671,-2.3,26,,,,
FE16-00,Pozzo,FE,ARGENTA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,747705,4938463,0.12,200,,,,
FE18-01,Pozzo,FE,MESOLA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,755380,4973165,-1.03,170,,,,
FE18-02,Pozzo,FE,CODIGORO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,751375,4971717,-0.7,160,Fondo foro,1,135,155
FE19-04,Pozzo,FE,CODIGORO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,742967,4970243,-3,141,Fondo foro,1,120,138
FE21-00,Pozzo,FE,GORO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,759844,4971650,-1.61,34.7,,,,
FE22-00,Pozzo,FE,TERRE DEL RENO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,685137,4960021,13.5,172,,,,
FE23-00,Pozzo,FE,TERRE DEL RENO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,690581,4964056,17.88,140.2,,3,72.12,140.19
FE24-03,Pozzo,FE,CENTO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,682224,4955674,14.3,123.5,,1,114.5,123.5
FE30-00,Pozzo,FE,FERRARA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,703494,4960438,10.45,102,Fondo foro,1,85,102
FE33-00,Pozzo,FE,FERRARA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,711280,4961583,3,123,Fondo foro,1,98,123
FE34-01,Pozzo,FE,FERRARA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,712605,4955291,5.59,117,Fondo foro,1,96,116
FE34-02,Pozzo,FE,FERRARA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,709642,4957129,7.4,81.6,Fondo foro,1,58,81
FE35-00,Pozzo,FE,ARGENTA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,708486,4953080,7.91,138,Fondo foro,1,133.6,138
FE36-01,Pozzo,FE,MASI TORELLO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,720507,4964328,4.1,120,Fondo foro,1,105,120
FE37-00,Pozzo,FE,PORTOMAGGIORE,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,721344,4959241,0.43,159,Fondo foro,1,135.88,153.88
FE38-00,Pozzo,FE,OSTELLATO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,730536,4959854,0.9,88,Fondo foro,1,73,86
FE39-01,Pozzo,FE,OSTELLATO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,727496,4958786,1,122,Fondo foro,1,101,122
FE41-01,Pozzo,FE,MIGLIARO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,733513,4963263,4.28,36,Fondo foro,1,34,36
FE41-02,Pozzo,FE,FISCAGLIA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,734408,4965154,0.3,70,Fondo foro,1,45,70
FE45-01,Pozzo,FE,COMACCHIO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,747136,4958603,-1.6,160,,3,45,160
FE47-01,Pozzo,FE,ARGENTA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,717666,4951764,0.81,110,Fondo foro,1,96,110
FE48-00,Pozzo,FE,PORTOMAGGIORE,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,727660,4948452,0.86,80,,,,
FE49-00,Pozzo,FE,ARGENTA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,725007,4944875,0.7,230,,5,17,229
FE52-00,Pozzo,FE,BONDENO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,680585,4979784,8,36,,1,25,30
FE53-00,Pozzo,FE,BONDENO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,685655,4972210,8.2,30,,,,
FE54-01,Pozzo,FE,LAGOSANTO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,747977,4959578,-1,90,Fondo foro,1,83,90
FE54-02,Pozzo,FE,LAGOSANTO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,748261,4961674,0.4,90,,,,
FE56-00,Pozzo,FE,FERRARA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,702655,4970438,7,60,Fondo foro,1,42,60
FE58-01,Piezometro,FE,FERRARA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,705549,4971137,6,47,,,,
FE58-02,Pozzo,FE,FERRARA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,705536,4971213,6,45,,1,26,42
FE59-01,Pozzo,FE,FERRARA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,708187,4967809,6,140,Fondo foro,1,126,140
FE60-00,Pozzo,FE,FERRARA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,705138,4965716,7.2,42,,,,
FE61-01,Pozzo,FE,FERRARA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,714115,4976957,3.8,38,,,,
FE63-00,Pozzo,FE,CENTO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,678700,4954402,18.99,101,,,,
FE64-00,Pozzo,FE,RIVA DEL PO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,727936,4983760,2.5,70,,,,
FE65-00,Pozzo,FE,JOLANDA DI SAVOIA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,735836,4974726,-2.6,36,,,,
FE69-00,Pozzo,FE,OSTELLATO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,745041,4953044,-1.09,145,Fondo foro,1,128,145
FE70-00,Piezometro,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,757807,4948325,2.77,2.4,,,,
FE71-00,Piezometro,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,757488,4963960,0.77,1.6,,,,
FE72-00,Pozzo,FE,CENTO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,682383,4958363,13,194,,2,170,194
FE73-00,Pozzo,FE,FERRARA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,705664,4957355,10,126,,2,55,126
FE74-00,Pozzo,FE,ARGENTA,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,744292,4943212,-1.9,86,,,,
FE75-00,Pozzo,FE,COPPARO,IT080640ER-DQ2-PCC-ITB,Pianura Alluvionale Costiera - confinato,723796,4971332,1.85,30,,,,
FE77-00,Pozzo,FE,VIGARANO MAINARDA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,697179,4968963,10.4,97,,,,
FE78-00,Pozzo,FE,BONDENO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,690480,4973681,9.8,63,,,,
FE78-01,Pozzo,FE,BONDENO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,689953,4972978,8.9,34,Fondo foro,1,24,34
FE80-00,Piezometro,FE,BONDENO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,679931,4979526,9,40,,1,7,40
FE81-00,Piezometro,FE,BONDENO,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,682819,4978747,8.4,40,,1,12,33
FE82-00,Pozzo,FE,ARGENTA,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,714812,4954000,4.4,85,Fondo foro,1,73,85
FE-F01-00,Pozzo,FE,BONDENO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,687196,4974399,8.3,4.9,,,,
FE-F01-01,Pozzo,FE,BONDENO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,682120,4979446,8.8,4.65,,,,
FE-F03-00,Pozzo,FE,FERRARA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,700188,4974344,6.3,5.5,,,,
FE-F04-00,Pozzo,FE,TERRE DEL RENO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,686995,4961580,13.2,7.94,,,,
FE-F04-01,Pozzo,FE,TERRE DEL RENO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,686434,4961020,14,9.2,,,,
FE-F09-00,Pozzo,FE,VOGHIERA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,717485,4959398,3.9,3.2,,,,
FE-F13-00,Pozzo,FE,COPPARO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,726662,4978146,1.5,4.69,,,,
FE-F15-00,Pozzo,FE,RIVA DEL PO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,717844,4981133,4.4,3.68,,,,
FE-F21-00,Pozzo,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,755130,4956058,1.15,2.14,,,,
FE-F22-00,Piezometro,FE,LAGOSANTO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,747369,4959658,-0.5,5.34,,,,
FE-F24-00,Pozzo,FE,MESOLA,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,757112,4970216,-0.1,2.59,,,,
FE-F26-00,Pozzo,FE,FISCAGLIA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,735355,4964826,1,3.75,,,,
FE-F28-00,Piezometro,FE,MESOLA,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,757087,4970252,-0.1,16.4,,1,1,16.4
FE-F29-00,Piezometro,FE,MESOLA,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,754913,4974386,0.3,12.5,,1,1,12.5
FE-F30-00,Piezometro,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,757442,4963877,0.7,11.7,,1,1,11.7
FE-F31-00,Piezometro,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,751608,4965796,-1.1,11.9,,1,1,11.9
FE-F32-00,Piezometro,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,755256,4957683,-0.2,16,,1,1,16
FE-F33-00,Piezometro,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,748044,4957253,-0.7,9.9,,1,1,9.9
FE-F34-00,Piezometro,FE,COMACCHIO,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,757563,4948710,1.81,8.8,,1,1,8.8
FE-F35-00,Piezometro,FE,MESOLA,IT089020ER-DQ1-FPC-ITB,Freatico di pianura costiero,755222,4979542,-2.23,14.5,,1,1,14.5
MO03-01,Pozzo,MO,MIRANDOLA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,665202,4973006,15,34,,,,
MO03-02,Pozzo,MO,MIRANDOLA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,664231,4973480,14,45,Fondo foro,1,35,45
MO07-01,Pozzo,MO,NOVI DI MODENA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,652382,4966843,20.3,60,,,,
MO08-00,Pozzo,MO,CAMPOSANTO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,667234,4965144,16.81,256,,7,49.3,243.6
MO10-01,Pozzo,MO,CARPI,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,647863,4961224,27.1,120,,,,
MO11-00,Pozzo,MO,BOMPORTO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,658816,4957800,25.52,143,Fondo foro,1,137,143
MO12-01,Pozzo,MO,BOMPORTO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,661295,4954293,25,120,Fondo foro,1,117,120
MO13-01,Pozzo,MO,CAMPOGALLIANO,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,646967,4950441,36.5,110,Fondo foro,1,105,110
MO14-00,Pozzo,MO,MODENA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,652035,4952807,25.94,121,Fondo foro,1,115,121
MO15-01,Pozzo,MO,MODENA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,655299,4951540,29.25,120,,,,
MO16-00,Pozzo,MO,RAVARINO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,665873,4954168,22.28,538,,3,449,530.5
MO17-02,Pozzo,MO,NONANTOLA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,661132,4949049,26.3,320,,,,
MO19-00,Pozzo,MO,MODENA,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,642782,4943967,56.9,70,,2,17,68
MO20-00,Pozzo,MO,MODENA,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,651345,4943531,37.16,82,,2,64,77.5
MO20-02,Pozzo,MO,MODENA,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,650052,4944626,36,71,Fondo foro,1,61,71
MO20-03,Pozzo,MO,MODENA,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,651201,4943327,40.6,106,,2,49,66
MO22-01,Pozzo,MO,CASTELFRANCO EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,662932,4943277,33.3,62,,,,
MO24-01,Pozzo,MO,SAN CESARIO SUL PANARO,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,660766,4938412,44.37,45,,,,
MO25-00,Pozzo,MO,SASSUOLO,IT080120ER-DQ1-CL,Conoide Secchia - libero,641385,4934288,111.5,22.8,,2,5,22.8
MO26-01,Pozzo,MO,SASSUOLO,IT080120ER-DQ1-CL,Conoide Secchia - libero,642158,4935612,102.1,70,,2,17,44
MO27-01,Pozzo,MO,FORMIGINE,IT082390ER-DQ2-CCI,Conoide Secchia - confinato inferiore,645265,4936419,92.1,80,,2,54,76
MO28-01,Pozzo,MO,FORMIGINE,IT080400ER-DQ2-CCS,Conoide Tiepido - confinato superiore,650024,4935999,81,70,,2,35,59.5
MO29-01,Pozzo,MO,CASTELVETRO DI MODENA,IT080140ER-DQ1-CL,Conoide Panaro - libero,657853,4932974,70.8,110,,,,
MO30-00,Pozzo,MO,SPILAMBERTO,IT080140ER-DQ1-CL,Conoide Panaro - libero,660534,4932763,73,118,,3,23,100
MO30-02,Pozzo,MO,SPILAMBERTO,IT080140ER-DQ1-CL,Conoide Panaro - libero,660616,4931654,79.5,90,,,,
MO31-02,Pozzo,MO,CASTELFRANCO EMILIA,IT080140ER-DQ1-CL,Conoide Panaro - libero,663446,4934309,58.2,57,,,,
MO32-01,Pozzo,MO,VIGNOLA,IT080140ER-DQ1-CL,Conoide Panaro - libero,660049,4929925,95,54,,,,
MO34-00,Pozzo,MO,MARANO,IT080140ER-DQ1-CL,Conoide Panaro - libero,657555,4925015,128.7,8.5,,1,2,8
MO35-03,Pozzo,MO,CARPI,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,646513,4956091,31,105,Fondo foro,1,100,105
MO36-00,Pozzo,MO,MODENA,IT080120ER-DQ1-CL,Conoide Secchia - libero,647618,4941941,52,51,Fondo foro,1,42,51
MO37-02,Pozzo,MO,CARPI,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,649636,4959512,24,95,Fondo foro,1,90,95
MO38-00,Pozzo,MO,CAVEZZO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,660176,4966605,23.33,59,Fondo foro,1,53,58
MO38-02,Pozzo,MO,CAVEZZO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,660176,4966605,23.33,75,Fondo foro,,,
MO41-01,Pozzo,MO,CARPI,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,644988,4966064,22.7,60,,,,
MO42-00,Pozzo,MO,CASTELVETRO DI MODENA,IT082400ER-DQ2-CCI,Conoide Tiepido - confinato inferiore,651596,4932533,115.24,90,,,,
MO42-01,Pozzo,MO,CASTELVETRO DI MODENA,IT082400ER-DQ2-CCI,Conoide Tiepido - confinato inferiore,651583,4932810,110,146,,3,65,141.5
MO43-01,Pozzo,MO,CAMPOSANTO,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,668808,4962027,17,148,,2,98,144
MO44-01,Pozzo,MO,CARPI,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,650950,4968357,19.8,50,,,,
MO45-01,Pozzo,MO,SAN FELICE SUL PANARO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,667148,4966901,17,180,,1,102,113
MO47-00,Pozzo,MO,CONCORDIA SULLA SECCHIA,IT080630ER-DQ2-PPCS,Pianura Alluvionale Padana - confinato superiore,654906,4974982,19,43,,,,
MO48-01,Pozzo,MO,FINALE EMILIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,676728,4969138,11,224,,5,108,165.4
MO49-00,Pozzo,MO,MODENA,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,646494,4945211,44.1,27,,,,
MO50-03,Pozzo,MO,VIGNOLA,IT080140ER-DQ1-CL,Conoide Panaro - libero,660689,4929438,96,60,,2,18,60
MO51-00,Pozzo,MO,CASTELNUOVO RANGONE,IT080130ER-DQ1-CL,Conoide Tiepido - libero,653493,4934363,82,120,,2,67,120
MO53-00,Pozzo,MO,SAN CESARIO SUL PANARO,IT080140ER-DQ1-CL,Conoide Panaro - libero,662655,4935035,57,40,,,,
MO55-00,Pozzo,MO,SAN CESARIO SUL PANARO,IT080140ER-DQ1-CL,Conoide Panaro - libero,661360,4936076,54,110,,2,30,85
MO56-02,Pozzo,MO,CASTELFRANCO EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,660481,4941487,37,100,,,,
MO58-00,Pozzo,MO,FORMIGINE,IT080120ER-DQ1-CL,Conoide Secchia - libero,644069,4939402,74.2,138,,6,45,133
MO58-01,Pozzo,MO,FORMIGINE,IT082390ER-DQ2-CCI,Conoide Secchia - confinato inferiore,644069,4939402,74.2,138,,3,72,120
MO59-00,Pozzo,MO,FIORANO MODENESE,IT080120ER-DQ1-CL,Conoide Secchia - libero,643786,4935108,105.5,93,,4,45,68
MO60-00,Pozzo,MO,MARANELLO,IT080130ER-DQ1-CL,Conoide Tiepido - libero,648346,4933151,118,95,,,,
MO62-00,Pozzo,MO,SAVIGNANO SUL PANARO,IT080140ER-DQ1-CL,Conoide Panaro - libero,662657,4931157,77.7,108,,,,
MO63-00,Pozzo,MO,CASTELVETRO DI MODENA,IT080400ER-DQ2-CCS,Conoide Tiepido - confinato superiore,655537,4933802,72,156,,,,
MO64-00,Pozzo,MO,CASTELFRANCO EMILIA,IT080140ER-DQ1-CL,Conoide Panaro - libero,663978,4932716,65,73,,,,
MO64-01,Pozzo,MO,SAN CESARIO SUL PANARO,IT080140ER-DQ1-CL,Conoide Panaro - libero,662467,4933879,63.8,60,,2,30,54
MO65-00,Pozzo,MO,CASTELVETRO DI MODENA,IT082400ER-DQ2-CCI,Conoide Tiepido - confinato inferiore,651514,4932590,115,100,,1,67.5,73.5
MO66-00,Pozzo,MO,CASTELFRANCO EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,667381,4933587,59.2,120,,,,
MO68-01,Pozzo,MO,MODENA,IT080400ER-DQ2-CCS,Conoide Tiepido - confinato superiore,651527,4939092,53.3,40,Fondo foro,1,39,40
MO69-00,Pozzo,MO,MODENA,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,645367,4943903,47.3,43.5,,,,
MO71-01,Pozzo,MO,FIORANO MODENESE,IT080120ER-DQ1-CL,Conoide Secchia - libero,645242,4933838,116.4,116.5,,,,
MO72-01,Pozzo,MO,FORMIGINE,IT080120ER-DQ1-CL,Conoide Secchia - libero,647747,4938930,65,104,Fondo foro,1,93,104
MO73-01,Pozzo,MO,SASSUOLO,IT080120ER-DQ1-CL,Conoide Secchia - libero,642270,4937458,90.8,97,,3,57,96
MO74-00,Pozzo,MO,CASTELFRANCO EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,667917,4939476,36,52,Fondo foro,1,42,48
MO75-00,Pozzo,MO,CAMPOGALLIANO,IT080390ER-DQ2-CCS,Conoide Secchia - confinato superiore,644555,4948280,46,60,,3,37,56
MO76-00,Pozzo,MO,CASTELFRANCO EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,662292,4939319,42,123,,4,75,121
MO77-01,Pozzo,MO,CASTELFRANCO EMILIA,IT080410ER-DQ2-CCS,Conoide Panaro - confinato superiore,666200,4936040,43,30,,,,
MO80-00,Pozzo,MO,MIRANDOLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,664133,4971866,17.5,300,,4,24.85,300
MO81-00,Pozzo,MO,SASSUOLO,IT080120ER-DQ1-CL,Conoide Secchia - libero,642602,4937030,92.4,116,,4,48,107
MO82-00,Pozzo,MO,CONCORDIA SULLA SECCHIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,657362,4975110,17.6,120,,,,
MO84-00,Pozzo,MO,MARANO,IT085050ER-AV2-VA,Depositi vallate App. Panaro-Tiepido,655346,4923873,143.3,15,,,,
MO85-00,Pozzo,MO,MARANELLO,IT080130ER-DQ1-CL,Conoide Tiepido - libero,649736,4932259,127.6,30,,,,
MO86-00,Pozzo,MO,FORMIGINE,IT080130ER-DQ1-CL,Conoide Tiepido - libero,650218,4934914,92.2,40,,1,23,25
MO87-00,Pozzo,MO,CASTELFRANCO EMILIA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,660753,4944674,31.5,280,,3,143,275
MO88-00,Pozzo,MO,CASTELFRANCO EMILIA,IT082410ER-DQ2-CCI,Conoide Panaro - confinato inferiore,668887,4941029,30,200,,3,98,192
MO-F01-00,Pozzo,MO,NONANTOLA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,658842,4947531,28.2,12,,,,
MO-F02-00,Pozzo,MO,MODENA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,650986,4948885,36.2,3.8,,,,
MO-F05-00,Pozzo,MO,SAN PROSPERO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,658710,4957831,26.2,5.43,,,,
MO-F08-00,Pozzo,MO,CAMPOSANTO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,668888,4962026,17,6.6,,,,
MO-F13-00,Pozzo,MO,CAVEZZO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,656642,4967080,21.6,9,,,,
MO-F14-00,Pozzo,MO,MIRANDOLA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,660089,4969370,19,6,,,,
MO-F20-00,Pozzo,MO,CONCORDIA SULLA SECCHIA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,654014,4977233,20.2,7.8,,,,
MO-F20-01,Pozzo,MO,NOVI DI MODENA,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,654751,4968708,25,10.38,,,,
PC01-00,Pozzo,PC,ROTTOFRENO,IT080032ER-DQ1-CL,Conoide Trebbia-Luretta - libero,544503,4991341,59.86,39,,,,
PC02-00,Pozzo,PC,ROTTOFRENO,IT080300ER-DQ2-CCS,Conoide Tidone-Luretta - confinato superiore,543007,4989237,64.02,42,Fondo foro,1,41,42
