Prov,Codice,Tipologia stazione,Comune,Codice_GWB_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m,Uso
BO,BO67-02,Pozzo,IMOLA,0510ER-DQ2-CCS,Conoide Santerno - confinato superiore,718087,4921334,23.4,59,Fondo foro,1,54,58,Irriguo
BO,BO68-00,Pozzo,DOZZA,2492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,709768,4918965,59.7,196.4,Fondo foro,1,188.9,196.4,Civile
BO,BO69-00,Pozzo,IMOLA,2510ER-DQ2-CCI,Conoide Santerno - confinato inferiore,717196,4917436,33.2,101,,4,53,98.9,Acquedottistico
BO,BO70-01,Pozzo,DOZZA,2492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,710050,4918123,67,201,,4,93,180,Civile
BO,BO71-01,Pozzo,IMOLA,0210ER-DQ1-CL,Conoide Santerno - libero,715791,4916868,42,97,,2,54,97,Acquedottistico
BO,BO72-00,Pozzo,IMOLA,2510ER-DQ2-CCI,Conoide Santerno - confinato inferiore,720981,4915871,31.2,62,,4,47,61,Civile
BO,BO73-00,Pozzo,IMOLA,0660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,719825,4912888,58.8,97,,,,,Irriguo
BO,BO75-00,Pozzo,CASTENASO,0470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,692566,4929401,49.17,104,,6,52.5,97.5,Industriale
BO,BO75-01,Pozzo,CASTENASO,0470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,693061,4929852,48,46,,,,,Irriguo
BO,BO77-01,Pozzo,VALSAMOGGIA,0420ER-DQ2-CCS,Conoide Samoggia - confinato superiore,671263,4931041,60,100,,,,,Irriguo
BO,BO78-01,Pozzo,BOLOGNA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,689825,4933567,37.46,450.63,,9,135,420.45,Industriale
BO,BO79-00,Pozzo,IMOLA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,721626,4928881,8,459,,9,165.25,454.55,Irriguo
BO,BO82-01,Pozzo,CREVALCORE,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,680090,4962867,16,85,,,,,Irriguo
BO,BO83-00,Pozzo,GALLIERA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,690975,4958871,13.77,190,,,,,Non in uso
BO,BO84-01,Pozzo,CASTEL SAN PIETRO TERME,0492ER-DQ2-CCS,Conoide Sillaro-Sellustra - confinato superiore,706413,4922717,51.2,20,,,,,Irriguo
BO,BO87-01,Pozzo,CALDERARA DI RENO,2442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,680579,4938855,25,0,,,,,Non in uso
BO,BO88-02,Pozzo,ZOLA PREDOSA,0160ER-DQ1-CL,Conoide Reno-Lavino - libero,676914,4928322,77,101.93,,3,29.07,99.7,Industriale
BO,BO89-00,Pozzo,ZOLA PREDOSA,2442ER-DQ2-CCI,Conoide Reno-Lavino - confinato inferiore,674322,4930012,73.8,226.3,,8,106.78,223.8,Industriale
BO,BO92-00,Pozzo,ANZOLA EMILIA,2420ER-DQ2-CCI,Conoide Samoggia - confinato inferiore,672582,4936972,35.72,150,,2,88.5,147,Civile
BO,BO95-00,Pozzo,BUDRIO,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,702423,4935153,23.5,486,,3,246,476,Industriale
BO,BO99-00,Pozzo,GRANAROLO DELL'EMILIA,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,691566,4935651,29.8,213,,3,88.82,212.75,Civile
BO,BOA5-00,Pozzo,CASTENASO,0470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,695616,4930400,39.01,159,,2,61,74.5,Non in uso
BO,BOA6-01,Pozzo,DOZZA,2492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,711138,4917725,68.4,165,,,,,Acquedottistico
BO,BOA7-00,Pozzo,MOLINELLA,2700ER-DQ2-PACI,Pianura Alluvionale - confinato inferiore,714286,4942901,7.3,190,,1,175,183.75,Industriale
BO,BOB3-00,Pozzo,CREVALCORE,0610ER-DQ2-PACS,Pianura Alluvionale Appenninica - confinato superiore,672436,4955556,15.87,100,,,,,Industriale
BO,BOB8-00,Pozzo,CREVALCORE,0620ER-DQ2-TPAPCS,Transizione Pianura Appenninica-Padana - confinato superiore,670194,4959181,19.21,80,Fondo foro,1,70,76,Irriguo
BO,BOE9-00,Pozzo,BOLOGNA,0160ER-DQ1-CL,Conoide Reno-Lavino - libero,678075,4933190,44.9,68,Fondo foro,1,64,68,Irriguo
BO,BOE9-01,Pozzo,BOLOGNA,0160ER-DQ1-CL,Conoide Reno-Lavino - libero,678135,4933504,41.7,70,,,,,Irriguo
BO,BO-F02-00,Pozzo,SALA BOLOGNESE,9015ER-DQ1-FPF,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,Domestico
BO,BO-F04-00,Pozzo,MALALBERGO,9015ER-DQ1-FPF,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,Irriguo
BO,BO-F07-00,Pozzo,SAN GIOVANNI IN PERSICETO,9015ER-DQ1-FPF,Freatico di pianura fluviale,676768,4948948,18.1,7,,,,,Irriguo
BO,BO-F08-00,Pozzo,ARGELATO,9015ER-DQ1-FPF,Freatico di pianura fluviale,684902,4947067,21.2,6.7,,,,,Domestico
BO,BO-F11-00,Pozzo,MOLINELLA,9015ER-DQ1-FPF,Freatico di pianura fluviale,705857,4940727,14.3,7.2,,,,,Irriguo
BO,BO-F12-00,Pozzo,CASTENASO,9015ER-DQ1-FPF,Freatico di pianura fluviale,699279,4932056,31,6.65,,,,,Domestico
