"Granule Name",Platform,Sensor,"Beam Mode","Beam Mode Description",Orbit,"Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?",URL,"Size (MB)","Off Nadir Angle","Stack Size",Doppler,GroupID,"Pointing Angle",relativeBurstID,absoluteBurstID,fullBurstID,burstIndex,azimuthTime,azimuthAnxTime,samplesPerBurst,subswath
S1A_IW_SLC__1SDV_20180206T170621_20180206T170648_020489_0230A8_3B25,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20489,117,143,2018-02-06T17:06:48.545110Z,2018-02-06T17:06:21.588544Z,SLC,2018-02-06T17:06:21.588544Z,2018-02-06T17:06:48.545110Z,44.8953,11.6961,43.876667,10.317604,44.27483,13.485963,45.492661,9.869011,45.891106,13.130385,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180206T170621_20180206T170648_020489_0230A8_3B25.zip,4348.90358161926,,,0,S1A_IWDV_0142_0149_020489_117,,,,,,,,,
S1A_IW_SLC__1SDV_20180206T170556_20180206T170623_020489_0230A8_CF9F,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20489,117,138,2018-02-06T17:06:23.722212Z,2018-02-06T17:05:56.749202Z,SLC,2018-02-06T17:05:56.749202Z,2018-02-06T17:06:23.722212Z,43.4059,12.0655,42.387093,10.722386,42.785076,13.809809,44.005203,10.286802,44.403053,13.460482,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180206T170556_20180206T170623_020489_0230A8_CF9F.zip,4506.87532043457,,,0,S1A_IWDV_0137_0144_020489_117,,,,,,,,,
S1B_IW_SLC__1SDV_20180205T171415_20180205T171442_009491_01112F_B4B1,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9491,15,147,2018-02-05T17:14:42.328630Z,2018-02-05T17:14:15.244620Z,SLC,2018-02-05T17:14:15.244620Z,2018-02-05T17:14:42.328630Z,46.2173,9.3389,45.193958,7.920103,45.593422,11.180282,46.816566,7.457179,47.21666,10.817867,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180205T171415_20180205T171442_009491_01112F_B4B1.zip,4504.80300426483,,,0,S1B_IWDV_0146_0153_009491_015,,,,,,,,,
S1B_IW_SLC__1SDV_20180205T171350_20180205T171417_009491_01112F_4BDB,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9491,15,142,2018-02-05T17:14:17.505732Z,2018-02-05T17:13:50.423778Z,SLC,2018-02-05T17:13:50.423778Z,2018-02-05T17:14:17.505732Z,44.7264,9.6925,43.702309,8.305502,44.103546,11.491279,45.325951,7.85634,45.727406,11.135545,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180205T171350_20180205T171417_009491_01112F_4BDB.zip,4472.19631385803,,,0,S1B_IWDV_0141_0148_009491_015,,,,,,,,,
S1B_IW_SLC__1SDV_20180205T171324_20180205T171352_009491_01112F_F138,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9491,15,137,2018-02-05T17:13:52.676667Z,2018-02-05T17:13:24.745768Z,SLC,2018-02-05T17:13:24.745768Z,2018-02-05T17:13:52.676667Z,43.2101,10.0548,42.160133,8.707279,42.562435,11.815971,43.835842,8.257399,44.237949,11.455482,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180205T171324_20180205T171352_009491_01112F_F138.zip,4349.83206367493,,,0,S1B_IWDV_0136_0143_009491_015,,,,,,,,,
S1A_IW_SLC__1SDV_20180201T165829_20180201T165856_020416_022E43_5386,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20416,44,147,2018-02-01T16:58:56.146814Z,2018-02-01T16:58:29.173804Z,SLC,2018-02-01T16:58:29.173804Z,2018-02-01T16:58:56.146814Z,46.1771,13.4538,45.156723,12.03294,45.556969,15.295551,46.772697,11.571977,47.173576,14.934638,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180201T165829_20180201T165856_020416_022E43_5386.zip,4555.5300283432,,,0,S1A_IWDV_0146_0153_020416_044,,,,,,,,,
S1A_IW_SLC__1SDV_20180201T165804_20180201T165831_020416_022E43_5A9B,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20416,44,142,2018-02-01T16:58:31.323915Z,2018-02-01T16:58:04.355017Z,SLC,2018-02-01T16:58:04.355017Z,2018-02-01T16:58:31.323915Z,44.6876,13.8183,43.667091,12.431965,44.068054,15.614392,45.283989,11.985136,45.685154,15.260385,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180201T165804_20180201T165831_020416_022E43_5A9B.zip,4113.27775478363,,,0,S1A_IWDV_0141_0148_020416_044,,,,,,,,,
S1A_IW_SLC__1SDV_20180201T165739_20180201T165806_020416_022E43_CF7C,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20416,44,137,2018-02-01T16:58:06.509240Z,2018-02-01T16:57:39.530063Z,SLC,2018-02-01T16:57:39.530063Z,2018-02-01T16:58:06.509240Z,43.1994,14.1904,42.179035,12.840476,42.579456,15.939816,43.797676,12.40672,44.197876,15.592064,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180201T165739_20180201T165806_020416_022E43_CF7C.zip,3985.69235134125,,,0,S1A_IWDV_0136_0143_020416_044,,,,,,,,,
S1B_IW_SLC__1SDV_20180131T170557_20180131T170624_009418_010EC6_F259,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9418,117,146,2018-01-31T17:06:24.951132Z,2018-01-31T17:05:57.984289Z,SLC,2018-01-31T17:05:57.984289Z,2018-01-31T17:06:24.951132Z,46.0,11.4636,44.98336,10.070771,45.377064,13.274817,46.599167,9.613107,46.993397,12.914776,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180131T170557_20180131T170624_009418_010EC6_F259.zip,4453.20490646362,,,0,S1B_IWDV_0146_0152_009418_117,,,,,,,,,
S1B_IW_SLC__1SDV_20180131T170532_20180131T170600_009418_010EC6_58DE,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9418,117,141,2018-01-31T17:06:00.122067Z,2018-01-31T17:05:32.213780Z,SLC,2018-01-31T17:05:32.213780Z,2018-01-31T17:06:00.122067Z,44.4823,11.8391,43.437447,10.489473,43.831417,13.609322,45.110886,10.030567,45.504948,13.243949,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180131T170532_20180131T170600_009418_010EC6_58DE.zip,4228.73038673401,,,0,S1B_IWDV_0141_0147_009418_117,,,,,,,,,
S1B_IW_SLC__1SDV_20180131T170504_20180131T170534_009418_010EC6_7269,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9418,117,136,2018-01-31T17:05:34.472835Z,2018-01-31T17:05:04.630269Z,SLC,2018-01-31T17:05:04.630269Z,2018-01-31T17:05:34.472835Z,42.8842,12.2199,41.780834,10.918942,42.175907,13.957904,43.571556,10.442889,43.966278,13.574261,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20180131T170504_20180131T170534_009418_010EC6_7269.zip,4916.81608104706,,,0,S1B_IWDV_0136_0142_009418_117,,,,,,,,,
S1A_IW_SLC__1SDV_20180130T171507_20180130T171534_020387_022D5A_4D9F,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20387,15,149,2018-01-30T17:15:34.416835Z,2018-01-30T17:15:07.447937Z,SLC,2018-01-30T17:15:07.447937Z,2018-01-30T17:15:34.416835Z,46.8243,9.1813,45.806831,7.764842,46.201855,11.023365,47.422066,7.298083,47.817909,10.658692,,ASCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20180130T171507_20180130T171534_020387_022D5A_4D9F.zip,4471.98993396759,,,0,S1A_IWDV_0149_0155_020387_015,,,,,,,,,
