master,slave,master_date,slave_date,master_path,slave_path,xml_file
S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5,2023-04-10,2023-05-04,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-10_2023-05-04/topsApp.xml
S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B,2023-04-10,2023-05-16,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-10_2023-05-16/topsApp.xml
S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302,S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC,2023-04-10,2023-05-28,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230410T171448_20230410T171515_048037_05C630_A302.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-10_2023-05-28/topsApp.xml
S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5,2023-04-22,2023-05-04,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-22_2023-05-04/topsApp.xml
S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B,2023-04-22,2023-05-16,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-22_2023-05-16/topsApp.xml
S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC,2023-04-22,2023-05-28,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-22_2023-05-28/topsApp.xml
S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979,S1A_IW_SLC__1SDV_20230609T171450_20230609T171517_048912_05E1C6_844B,2023-04-22,2023-06-09,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230422T171448_20230422T171515_048212_05CC09_F979.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230609T171450_20230609T171517_048912_05E1C6_844B.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-04-22_2023-06-09/topsApp.xml
S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5,S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B,2023-05-04,2023-05-16,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230516T171449_20230516T171516_048562_05D752_140B.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-05-04_2023-05-16/topsApp.xml
S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5,S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC,2023-05-04,2023-05-28,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230528T171450_20230528T171517_048737_05DC83_F3CC.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-05-04_2023-05-28/topsApp.xml
S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5,S1A_IW_SLC__1SDV_20230609T171450_20230609T171517_048912_05E1C6_844B,2023-05-04,2023-06-09,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230504T171449_20230504T171516_048387_05D1E8_A1E5.zip,/mnt/data/sbas_vs_ps_test_bologna/data/safe/S1A_IW_SLC__1SDV_20230609T171450_20230609T171517_048912_05E1C6_844B.zip,/mnt/data/sbas_vs_ps_test_bologna/configs/sbas/2023-05-04_2023-06-09/topsApp.xml
