station_code,date,piezometry_m,depth_to_water_m,measurement_type,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,lon,lat,use
BO-F02-00,2021-10-05,20.13,4.07,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2022-04-05,20.57,3.63,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2022-07-11,19.53,4.67,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2022-10-06,19.23,4.97,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2023-01-18,19.89,4.31,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2023-04-20,20.05,4.15,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2023-07-04,21.83,2.37,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2023-11-02,20.48,3.72,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2024-02-13,21.25,2.95,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2024-05-02,22.16,2.04,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2024-07-16,20.06,4.14,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F02-00,2024-10-22,22.39,1.81,manual,Pozzo,BO,SALA BOLOGNESE,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,681965,4942653,24.2,7.5,,,,,11.2934049112,44.6142018113,
BO-F04-00,2010-03-30,10.90,1.40,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2010-06-21,10.51,1.79,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2010-07-28,10.03,2.27,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2010-10-28,9.71,2.59,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2011-04-12,10.50,1.80,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2011-10-13,9.06,3.24,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2012-04-03,8.96,3.34,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2012-10-02,8.73,3.57,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2013-04-11,11.06,1.24,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2013-10-08,9.29,3.01,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2014-05-13,11.00,1.30,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2014-09-25,9.33,2.97,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2015-04-16,10.72,1.58,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2015-10-22,9.34,2.96,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2016-04-21,10.10,2.20,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2016-10-13,10.02,2.28,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2017-03-30,10.48,1.82,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2017-09-28,9.33,2.97,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
BO-F04-00,2018-04-11,10.74,1.56,manual,Pozzo,BO,MALALBERGO,IT089015ER-DQ1-FPF-ITB,Freatico di pianura fluviale,699177,4949318,12.3,7.3,,,,,11.5127261959,44.6695853263,
