station_code,station_type,province,municipality,gwb_code,gwb_name,x_utm_etrs89,y_utm_etrs89,ground_elevation_m,well_depth_m,filter_position,n_filters,filter_start_m,filter_end_m,source_type,lon,lat,metadata_source,use
BO44-00,Pozzo,BO,MEDICINA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,716532,4931281,7.9,440.0,,3.0,230.0,410.0,manual,11.7238409064,44.5023653216,manual,
BO47-01,Pozzo,BO,BOLOGNA,IT080160ER-DQ1-CL,Conoide Reno-Lavino - libero,680182,4929208,53.8,110.0,Fondo foro,1.0,89.0,108.0,manual,11.2662492432,44.4937053672,manual,
BO50-00,Pozzo,BO,BOLOGNA,IT082462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689421,4928818,55.23,269.58,,9.0,78.54,249.97,manual,11.3822128744,44.4878332994,manual,
BO50-01,Pozzo,BO,BOLOGNA,IT082462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689537,4928883,55.23,272.01,,11.0,80.0,256.0,manual,11.3836942932,44.4883875425,manual,
BO50-02,Pozzo,BO,BOLOGNA,IT082462ER-DQ2-CCI,Conoide Savena - confinato inferiore,689316,4928818,55.23,276.77,,11.0,84.0,261.5,manual,11.3808934992,44.4878608255,manual,
BO52-00,Pozzo,BO,BOLOGNA,IT080170ER-DQ1-CL,Conoide Savena - libero,689193,4925716,73.26,14.0,,,,,manual,11.3782138151,44.4599905973,manual,
BO53-02,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,692897,4926261,66.0,70.0,,,,,manual,11.4249361724,44.4639140651,manual,
BO53-03,Pozzo,BO,SAN LAZZARO DI SAVENA,IT082470ER-DQ2-CCI,Conoide Zena-Idice - confinato inferiore,692456,4927345,55.0,93.0,,1.0,56.5,61.3,manual,11.4198002693,44.4737818802,manual,
BO55-01,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,696514,4928048,47.5,84.0,,,,,manual,11.4710428538,44.479012932,manual,
BO55-02,Pozzo,BO,SAN LAZZARO DI SAVENA,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,695621,4927462,54.6,87.8,,9.0,17.0,87.0,manual,11.4596026938,44.4739844928,manual,
BO56-01,Pozzo,BO,SAN LAZZARO DI SAVENA,IT082470ER-DQ2-CCI,Conoide Zena-Idice - confinato inferiore,695449,4925917,52.42,203.04,,5.0,80.5,185.45,manual,11.4568587358,44.4601345587,manual,
BO57-01,Pozzo,BO,OZZANO DELL'EMILIA,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,696479,4924615,61.4,81.0,,2.0,45.0,81.0,manual,11.469300406,44.4481446825,manual,
BO58-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,704957,4925609,37.4,453.0,,2.0,354.0,444.39,manual,11.5761381681,44.4547320841,manual,
BO60-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,704907,4919915,75.5,136.0,,4.0,36.4,131.3,manual,11.5732609892,44.4035359609,manual,
BO61-00,Pozzo,BO,CASTEL SAN PIETRO TERME,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,706826,4919601,59.65,101.0,,6.0,73.3,95.72,manual,11.597210628,44.4001666971,manual,
BO62-01,Pozzo,BO,MEDICINA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,710530,4929431,19.9,259.0,,2.0,177.0,245.0,manual,11.6476673533,44.4875031131,manual,
BO65-00,Pozzo,BO,IMOLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,717206,4926821,17.34,235.0,Fondo foro,1.0,221.0,235.0,manual,11.7304371463,44.462056332,manual,
BO66-00,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,710921,4920769,43.2,190.0,,2.0,96.0,189.0,manual,11.6490536894,44.4094903966,manual,
BO67-02,Pozzo,BO,IMOLA,IT080510ER-DQ2-CCS,Conoide Santerno - confinato superiore,718087,4921334,23.4,59.0,Fondo foro,1.0,54.0,58.0,manual,11.7391915165,44.4124492749,manual,
BO68-00,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,709768,4918965,59.7,196.4,Fondo foro,1.0,188.9,196.4,manual,11.633859389,44.3936012162,manual,
BO69-00,Pozzo,BO,IMOLA,IT082510ER-DQ2-CCI,Conoide Santerno - confinato inferiore,717196,4917436,33.2,101.0,,4.0,53.0,98.9,manual,11.726383847,44.3776635755,manual,
BO70-01,Pozzo,BO,DOZZA,IT082492ER-DQ2-CCI,Conoide Sillaro-Sellustra - confinato inferiore,710050,4918123,67.0,201.0,,4.0,93.0,180.0,manual,11.6370562024,44.3859471497,manual,
BO71-01,Pozzo,BO,IMOLA,IT080210ER-DQ1-CL,Conoide Santerno - libero,715791,4916868,42.0,97.0,,2.0,54.0,97.0,manual,11.7085314008,44.3729750868,manual,
BO72-00,Pozzo,BO,IMOLA,IT082510ER-DQ2-CCI,Conoide Santerno - confinato inferiore,720981,4915871,31.2,62.0,,4.0,47.0,61.0,manual,11.7731761016,44.3624470667,manual,
BO73-00,Pozzo,BO,IMOLA,IT080660ER-DET1-CMSG,Conoidi montane e Sabbie gialle orientali,719825,4912888,58.8,97.0,,,,,manual,11.7574268555,44.3359735597,manual,
BO75-00,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,692566,4929401,49.17,104.0,,6.0,52.5,97.5,manual,11.4219475515,44.4922456661,manual,
BO75-01,Pozzo,BO,CASTENASO,IT080470ER-DQ2-CCS,Conoide Zena-Idice - confinato superiore,693061,4929852,48.0,46.0,,,,,manual,11.4283361619,44.4961700989,manual,
BO77-01,Pozzo,BO,VALSAMOGGIA,IT080420ER-DQ2-CCS,Conoide Samoggia - confinato superiore,671263,4931041,60.0,100.0,,,,,manual,11.1547586171,44.5123659233,manual,
BO78-01,Pozzo,BO,BOLOGNA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,689825,4933567,37.46,450.63,,9.0,135.0,420.45,manual,11.3890345806,44.5304438914,manual,
BO79-00,Pozzo,BO,IMOLA,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,721626,4928881,8.0,459.0,,9.0,165.25,454.55,manual,11.7868170599,44.4792388558,manual,
BO82-01,Pozzo,BO,CREVALCORE,IT080620ER-DQ2-TPAPCS-ITB,Transizione Pianura Appenninica-Padana - confinato superiore,680090,4962867,16.0,85.0,,,,,manual,11.2769121939,44.7965046849,manual,
